Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2025-01-30 12:34:56 pm,"Test Workout A",49m,"Test Exercise A",1,25,10,0,0,"Hello","",
2025-01-30 12:34:56 pm,"Test Workout A",49m,"Test Exercise A",2,27.5,20,0,0,"World","",
2025-01-30 12:34:56 pm,"Test Workout A",49m,"Test Exercise A",3,30,30,0,0,"12345","",
2025-01-30 12:34:56 pm,"Test Workout A",49m,"Test Exercise B",1,32.5,5,0,0,"","",
2025-01-30 12:34:56 pm,"Test Workout A",49m,"Test Exercise B",2,35,15,0,0,"","",
2025-01-30 12:34:56 pm,"Test Workout A",49m,"Test Exercise B",3,37.5,25,0,0,"","",
2025-01-29 5:30:00 pm,"Test Workout B",64m,"Test Exercise C",1,25,10,0,0,"","",
2025-01-29 5:30:00 pm,"Test Workout B",64m,"Test Exercise C",2,27.5,20,0,0,"","",
2025-01-29 5:30:00 pm,"Test Workout B",64m,"Test Exercise C",3,30,30,0,0,"","",
2025-01-29 5:30:00 pm,"Test Workout B",64m,"Test Exercise A",1,32.5,5,0,0,"","",
2025-01-29 5:30:00 pm,"Test Workout B",64m,"Test Exercise A",2,35,15,0,0,"","",
2025-01-29 5:30:00 pm,"Test Workout B",64m,"Test Exercise A",3,37.5,25,0,0,"","",
